TimeStamp,ERR_FACT_QTY_CN7,ERR_FACT_QTY_RG3,ERR_FACT_QTY_TOTAL
2020-03-24,2568.0,,2568.0
2020-03-25,,43.0,43.0
2020-03-26,,1080.0,1080.0
2020-03-27,,3894.0,3894.0
2020-03-28,,54339.0,54339.0
2020-03-29,,421514.0,421514.0
2020-03-30,,51722.0,51722.0
2020-03-31,7238.0,130083.0,137321.0
2020-04-01,143528.0,,143528.0
2020-04-02,14396.0,,14396.0
2020-04-03,1302.0,,1302.0
2020-04-04,19890.0,,19890.0
2020-04-05,793.0,,793.0
2020-04-06,203.0,,203.0
2020-04-20,,180.0,180.0
2020-04-21,,873.0,873.0
2020-04-22,,0.0,0.0
2020-04-23,,1759.0,1759.0
2020-04-24,,1647.0,1647.0
2020-04-25,,0.0,0.0
2020-04-27,,5304.0,5304.0
2020-04-28,,1808.0,1808.0
2020-04-29,,13052.0,13052.0
2020-05-07,,48.0,48.0
2020-05-09,,72.0,72.0
2020-05-11,,402.0,402.0
2020-05-12,,0.0,0.0
2020-05-27,1282.0,,1282.0
2020-05-28,1068.0,,1068.0
2020-06-15,,3784.0,3784.0
2020-06-16,,212936.0,212936.0
2020-06-17,,1144.0,1144.0
2020-06-18,,71047.0,71047.0
2020-06-19,,6784.0,6784.0
2020-06-22,,136.0,136.0
2020-06-23,,27888.0,27888.0
2020-07-03,,9348.0,9348.0
2020-07-06,,36138.0,36138.0
2020-07-07,,3367.0,3367.0
2020-07-08,,29922.0,29922.0
2020-07-09,,3873.0,3873.0
2020-07-10,,8183.0,8183.0
2020-07-13,,1017.0,1017.0
2020-07-14,,12485.0,12485.0
2020-07-15,,1075.0,1075.0
2020-07-16,,31592.0,31592.0
2020-07-17,,14071.0,14071.0
2020-07-20,,3145.0,3145.0
2020-07-21,,6864.0,6864.0
2020-07-22,,8.0,8.0
2020-07-24,8150.0,,8150.0
2020-07-28,372.0,,372.0
2020-07-29,413.0,,413.0
2020-07-30,539.0,,539.0
2020-08-10,23.0,,23.0
2020-08-11,0.0,,0.0
2020-08-12,14.0,,14.0
2020-08-19,6.0,,6.0
2020-08-20,4.0,,4.0
2020-08-21,16.0,,16.0
2020-08-22,17.0,,17.0
2020-08-24,25264.0,,25264.0
2020-08-25,174.0,,174.0
2020-08-26,2614.0,,2614.0
2020-08-27,2149.0,,2149.0
2020-08-28,0.0,,0.0
2020-09-03,5222.0,,5222.0
2020-09-04,13651.0,,13651.0
2020-09-05,60.0,,60.0
2020-09-07,4337.0,,4337.0
2020-09-09,263.0,,263.0
2020-09-10,80.0,,80.0
2020-09-14,,3149.0,3149.0
2020-09-16,,6536.0,6536.0
2020-09-19,3110.0,,3110.0
2020-09-21,266500.0,,266500.0
2020-09-22,34580.0,,34580.0
2020-09-24,175.0,,175.0
2020-09-25,548.0,,548.0
2020-09-28,29341.0,,29341.0
2020-09-29,1209.0,,1209.0
2020-10-05,16788.0,,16788.0
2020-10-06,689.0,170.0,859.0
2020-10-07,,0.0,0.0
2020-10-12,,342.0,342.0
2020-10-13,,210.0,210.0
2020-10-14,1619.0,,1619.0
2020-10-15,3960.0,,3960.0
2020-10-16,26440.0,,26440.0
2020-10-17,105665.0,,105665.0
2020-10-18,49662.0,,49662.0
2020-10-19,1512.0,,1512.0
2020-10-20,1145.0,144015.0,145160.0
2020-10-21,,119625.0,119625.0
2020-10-22,,10583.0,10583.0
2020-10-23,,0.0,0.0
